"municipality_code","municipality_name"
"010101",SANTO DOMINGO DE GUZMÁN (D. M.)
"020101",AZUA (D. M.)
"020102",BARRO ARRIBA (D. M.)
"020103",LAS BARÍAS-LA ESTANCIA (D. M.)
"020104",LOS JOVILLOS (D. M.)
"020105",PUERTO VIEJO (D. M.)
"020106",BARRERAS (D. M.)
"020107",DOÑA EMMA BALAGUER VIUDA VALLEJO (D. M.)
"020108",CLAVELLINA (D. M.)
"020109",LAS LOMAS (D. M.)
"020201",LAS CHARCAS (D. M.)
"020202",PALMAR DE OCOA (D. M.)
"020301",LAS YAYAS DE VIAJAMA (D. M.)
"020302",VILLARPANDO (D. M.)
"020303",HATO NUEVO CORTÉS (D. M.)
"020401",PADRE LAS CASAS (D. M.)
"020402",LAS LAGUNAS (D. M.)
"020403",LA SIEMBRA (D. M.)
"020404",MONTE BONITO (D. M.)
"020405",LOS FRÍOS (D. M.)
"020501",PERALTA (D. M.)
"020601",SABANA YEGUA (D. M.)
"020602",PROYECTO 4 (D. M.)
"020603",GANADERO (D. M.)
"020604",PROYECTO 2-C (D. M.)
"020701",PUEBLO VIEJO (D. M.)
"020702",EL ROSARIO (D. M.)
"020801",TÁBARA ARRIBA (D. M.)
"020802",TÁBARA ABAJO (D. M.)
"020803",AMIAMA GÓMEZ (D. M.)
"020804",LOS TOROS (D. M.)
"020901",GUAYABAL (D. M.)
"021001",ESTEBANÍA (D. M.)
"030101",NEIBA (D. M.)
"030102",EL PALMAR (D. M.)
"030201",GALVÁN (D. M.)
"030202",EL SALADO (D. M.)
"030301",TAMAYO (D. M.)
"030302",UVILLA (D. M.)
"030303",SANTANA (D. M.)
"030304",MONSERRATE (MONTSERRAT) (D. M.)
"030305",CABEZA DE TORO (D. M.)
"030306",MENA (D. M.)
"030307",SANTA BÁRBARA EL 6 (D. M.)
"030401",VILLA JARAGUA (D. M.)
"030501",LOS RÍOS (D. M.)
"030502",LAS CLAVELLINAS (D. M.)
"040101",LOS RÍOS (D. M.)
