"code","name"
"020000",Azua
"030000",Bahoruco
"040000",Barahona
"050000",Dajabón
"010000",Distrito Nacional
"060000",Duarte
"070000",Elías Piña
"080000",El Seibo
"090000",Espaillat
"300000",Hato Mayor
"190000",Hermanas Mirabal
"100000",Independencia
"110000",La Altagracia
"120000",La Romana
"130000",La Vega
"140000",María Trinidad Sánchez
"280000",Monseñor Nouel
"150000",Monte Cristi
"290000",Monte Plata
"160000",Pedernales
"170000",Peravia
"180000",Puerto Plata
"200000",Samaná
"240000",Sánchez Ramírez
"210000",San Cristóbal
"310000",San José de Ocoa
"220000",San Juan
"230000",San Pedro de Macorís
"250000",Santiago
"260000",Santiago Rodríguez
"320000",Santo Domingo
"270000",Valverde
